url,primary_keyword,secondary_keyword,region,language,device
https://www.fourseasons.com/casablanca/,casablanca luxury hotels​ | morocco luxury hotels​,luxury hotel casablanca morocco​,MA,en,mobile
https://www.fourseasons.com/casablanca/accommodations/,hotel suite casablanca​ | casablanca accommodation​,,MA,en,mobile
https://www.fourseasons.com/casablanca/dining/,luxury restaurants casablanca​ | restaurants casablanca​,,MA,en,mobile
https://www.fourseasons.com/casablanca/offers/,,,MA,en,mobile
https://www.fourseasons.com/casablanca/photos-and-videos/,,,MA,en,mobile
https://www.fourseasons.com/casablanca/spa/,hotel spa casablanca​ | hammam casablanca​,,MA,en,mobile
https://www.fourseasons.com/casablanca/weddings/,,,MA,en,mobile
https://www.fourseasons.com/chiangmai/,chiang mai resort,luxury resort chiang mai,TH,en,mobile
https://www.fourseasons.com/chiangmai/accommodations/,chiang mai accommodation,luxury villas chaing mai,TH,en,mobile
https://www.fourseasons.com/chiangmai/dining/,chiang mai dining,chiang mai restaurants,TH,en,mobile
https://www.fourseasons.com/chiangmai/experiences/,chiang mai activities,chiang mai experiences,TH,en,mobile
https://www.fourseasons.com/chiangmai/offers/,chiang mai vacation packages,chiang mai holiday packages,TH,en,mobile
https://www.fourseasons.com/chiangmai/photos-and-videos/,chiang mai photos,four seasons resort chiang mai photos,TH,en,mobile
https://www.fourseasons.com/chiangmai/seasonal/chinese-new-year/,chinese new year in chiang mai,,TH,en,mobile
https://www.fourseasons.com/chiangmai/services-and-amenities/fitness/,Chiang mai gym,,TH,en,mobile
https://www.fourseasons.com/chiangmai/spa/,chiang mai spa,day spa chiang mai,TH,en,mobile
https://www.fourseasons.com/chiangmai/spa/massages/,chiang mai massage,,TH,en,mobile
https://www.fourseasons.com/chiangmai/villa-residence-rentals/,chiang mai luxury villa rental,luxury villas thailand,TH,en,mobile
https://www.fourseasons.com/chiangmai/weddings/,chiang mai wedding,thailand destination wedding,TH,en,mobile
https://www.fourseasons.com/chicago/,"luxury hotels chicago
luxury hotel chicago","four seasons chicago
four seasons hotel chicago
upscale chicago hotels
gold coast hotels chicago
chicago hotels michigan avenue",US,en,mobile
https://www.fourseasons.com/chicago/accommodations/,chicago hotel rooms,"chicago luxury suites
chicaho hotel suites",US,en,mobile
https://www.fourseasons.com/chicago/dining/,"hotel restaurants chicago
fine dining chicago",fine dining downtown chicago,US,en,mobile
https://www.fourseasons.com/chicago/experiences/,"luxury chicago experiences
luxury experiences in chicago",,US,en,mobile
https://www.fourseasons.com/chicago/offers/,"chicago hotel offers
chicago vacation packages",,US,en,mobile
https://www.fourseasons.com/chicago/photos-and-videos/,chicago luxury hotel photos & videos,,US,en,mobile
https://www.fourseasons.com/chicago/seasonal/christmas/,christmas in chicago,,US,en,mobile
https://www.fourseasons.com/chicago/seasonal/thanksgiving/,thanksgiving in chicago,,US,en,mobile
https://www.fourseasons.com/chicago/services-and-amenities/family/,"chicago family-friendly hotels
family-friendly hotel chicago",,US,en,mobile
https://www.fourseasons.com/chicago/spa/,"chicago spa
spa chicago","spa in chicago downtown
spa downtown chicago
luxury spa chicago",US,en,mobile
https://www.fourseasons.com/chicago/weddings/,chicago wedding,chicago weddings,US,en,mobile
https://www.fourseasons.com/costarica/,peninsula papagayo resort | costa rica resort,luxury costa rica resort,CR,en,mobile
https://www.fourseasons.com/costarica/accommodations/,costa rica accommodations | costa rica suites​,costa rica hotel rooms,CR,en,mobile
https://www.fourseasons.com/costarica/dining/,restaurants papagayo costa rica | costa rica dining,costa rica resort dining​,CR,en,mobile
https://www.fourseasons.com/costarica/experiences/,costa rica activities | costa rica experiences,costa rica experiences,CR,en,mobile
https://www.fourseasons.com/costarica/golf/,costa rica golf courses​ | costa rica golf​,,CR,en,mobile
https://www.fourseasons.com/costarica/offers/,costa rica packages | costa rica vacation,,CR,en,mobile
https://www.fourseasons.com/costarica/photos-and-videos/,costa rica photos | costa rica videos,,CR,en,mobile
https://www.fourseasons.com/costarica/spa/,costa rica spa resort | costa rica spa,,CR,en,mobile
https://www.fourseasons.com/costarica/villa-residence-rentals/,costa rica villas | luxury vacation rentals costa rica​,costa rica luxury villa | costa rica private villa,CR,en,mobile
https://www.fourseasons.com/costarica/weddings/,weddings in costa rica | peninsula papagayo wedding,costa rica wedding,CR,en,mobile
https://www.fourseasons.com/denver/,luxury hotels in denver​​ | downtown denver hotels​,hotels near ball arena denver​,US,en,mobile
https://www.fourseasons.com/denver/accommodations/,downtown denver accommodation​ | hotel rooms downtown denver​,,US,en,mobile
https://www.fourseasons.com/denver/dining/,dining downtown denver co​ | fine dining denver​,,US,en,mobile
https://www.fourseasons.com/denver/offers/,denver hotel offers,,US,en,mobile
https://www.fourseasons.com/denver/photos-and-videos/,denver photos,,US,en,mobile
https://www.fourseasons.com/denver/spa/,luxury spa denver co​ | spa downtown denver​,massage downtown denver​,US,en,mobile
https://www.fourseasons.com/denver/weddings/,denver weddings,,US,en,mobile
https://www.fourseasons.com/doha/,doha luxury hotel,,QA,en,mobile
https://www.fourseasons.com/doha/accommodations/,Doha suites,,QA,en,mobile
https://www.fourseasons.com/doha/dining/,fine dining doha,,QA,en,mobile
https://www.fourseasons.com/doha/experiences/,doha experiences,,QA,en,mobile
https://www.fourseasons.com/doha/offers/,doha hotel offers,,QA,en,mobile
https://www.fourseasons.com/doha/photos-and-videos/,doha photos,,QA,en,mobile
https://www.fourseasons.com/doha/spa/,spa hotel doha,,QA,en,mobile
https://www.fourseasons.com/doha/weddings/,doha weddings,,QA,en,mobile
https://www.fourseasons.com/thepearlqatar/,qatar beach resort,doha beach resorts,QA,en,mobile
https://www.fourseasons.com/thepearlqatar/accommodations/,resort apartments doha,the pearl luxury apartments,QA,en,mobile
https://www.fourseasons.com/thepearlqatar/dining/,fine dining doha,the pearl restaurants,QA,en,mobile
https://www.fourseasons.com/thepearlqatar/experiences/,doha excursions,doha experiences,QA,en,mobile
https://www.fourseasons.com/thepearlqatar/offers/,qatar vacation packages,"staycation doha, doha vacation packages",QA,en,mobile
https://www.fourseasons.com/thepearlqatar/photos-and-videos/,the pearl qatar photos,,QA,en,mobile
https://www.fourseasons.com/thepearlqatar/seasonal/new-year/,new year in doha,,QA,en,mobile
